subject,date,session,burst,t_s,n_pulse,A_orig,B_fixed,p2p,ramp,mw_peak
subject_1784615199160,20260721,155408,0,0.786,19,2085.8,107.5,215.0,128.9,234.0
subject_1784615199160,20260721,155408,1,2.525,2,480.50000000000006,47.0,259.5,21.9,209.0
subject_1784615199160,20260721,155408,2,5.669,2,344.2,35.47727272727273,160.5,12.549999999999999,120.75
subject_1784615199160,20260721,155408,3,7.381,2,416.6,38.63636363636363,240.0,14.8,194.0
subject_1784615199160,20260721,155408,4,9.093,2,577.0,57.45454545454545,313.5,-2.5,223.5
subject_1784615199160,20260721,155408,5,10.525,2,265.4,27.704545454545453,159.5,3.6500000000000004,116.75
subject_1784615199160,20260721,155408,6,12.117,20,3450.2000000000003,319.8181818181818,640.0,38.349999999999994,670.5
subject_1784615199160,20260721,155408,7,13.735,14,2531.3,336.5909090909091,814.0,45.75,800.25
subject_1784615199160,20260721,155408,8,15.351,17,3731.0,356.3181818181818,862.0,30.5,801.0
subject_1784615199160,20260721,155408,9,17.094,14,3977.5,411.2954545454545,1369.0,12.8,781.5
subject_1784615199160,20260721,155408,10,18.588,16,3940.3,407.04545454545456,1375.5,19.05,738.5
subject_1784615199160,20260721,155408,11,20.207,16,3579.8999999999996,378.27272727272725,1281.5,13.3,684.5
subject_1784615199160,20260721,155408,12,21.829,19,3753.6,366.09090909090907,1327.0,44.8,706.0
subject_1784615199160,20260721,155408,13,23.444,18,3445.9,356.3181818181818,1186.0,36.45,661.0
subject_1784615199160,20260721,155408,14,25.063,17,3603.0,375.54545454545456,1278.0,32.0,703.0
subject_1784615199160,20260721,155408,15,26.682,15,3687.6,375.3181818181818,1291.0,28.1,705.5
subject_1784615199160,20260721,155408,16,28.301,13,3769.2,382.8636363636364,1257.0,35.3,689.5
subject_1784615199160,20260721,155408,17,30.044,12,3789.0,383.72727272727275,1207.0,23.700000000000003,659.0
subject_1784615199160,20260721,155408,18,31.538,15,3543.0,358.95454545454544,1184.0,60.5,645.5
subject_1784615199160,20260721,155408,19,33.157,16,3660.0,380.8636363636364,1241.0,57.300000000000004,728.5
subject_1784615199160,20260721,155408,20,34.776,14,3529.3,365.25,1187.0,51.0,649.5
subject_1784615199160,20260721,155408,21,36.395,15,3214.6,341.40909090909093,1129.0,55.3,625.0
subject_1784615199160,20260721,155408,22,38.013,19,3132.8,324.5,1105.0,41.5,604.5
subject_1784615199160,20260721,155408,23,39.632,19,3120.4,325.04545454545456,1087.0,133.1,593.5
subject_1784615199160,20260721,155408,24,41.251,19,3161.8,313.04545454545456,1033.0,113.0,616.5
subject_1784615199160,20260721,155408,25,42.87,20,3140.9,324.6363636363636,959.0,103.65,598.0
subject_1784615199160,20260721,155408,26,44.492,20,3310.3,319.8409090909091,1071.0,119.75,608.25
subject_1784615199160,20260721,155408,27,46.107,18,3484.6000000000004,310.8181818181818,1023.5,104.19999999999999,666.5
subject_1784615199160,20260721,155408,28,47.726,19,3298.2,296.04545454545456,1197.0,119.8,716.5
subject_1784615199160,20260721,155408,29,49.345,18,3436.1000000000004,347.81818181818187,1219.5,130.85,696.25
subject_1784615199160,20260721,155408,30,50.963,18,3221.8,312.4090909090909,1025.0,116.55,611.5
subject_1784615199160,20260721,155408,31,52.582,20,3397.7,301.6818181818182,1051.0,129.39999999999998,630.25
subject_1784615199160,20260721,155408,32,54.201,19,3212.2,291.09090909090907,1055.0,132.6,643.0
subject_1784615199160,20260721,155408,33,55.823,16,3222.6000000000004,304.2045454545455,1022.0,131.75,592.5
subject_1784615199160,20260721,155408,34,57.438,17,3226.2,291.09090909090907,1044.0,151.3,655.0
subject_1784615199160,20260721,155408,35,59.057,16,2846.8,294.3181818181818,920.5,143.9,639.75
subject_1784615199160,20260721,155408,36,60.679,18,3154.9,278.27272727272725,889.0,149.2,621.25
subject_1784615199160,20260721,155408,37,62.294,20,3220.1000000000004,277.1136363636364,901.5,172.14999999999998,669.75
subject_1784615199160,20260721,155408,38,63.913,20,3081.1,264.22727272727275,1056.5,163.55,727.75
subject_1784615199160,20260721,155408,39,65.532,20,3017.8,242.0681818181818,996.5,146.65,737.0
subject_1784615199160,20260721,155408,40,67.154,20,3432.6000000000004,269.3181818181818,1009.5,144.75,691.75
subject_1784615199160,20260721,155408,41,68.769,20,3246.3999999999996,275.3863636363636,1132.0,178.7,764.25
subject_1784615199160,20260721,155408,42,70.388,20,3432.2999999999997,271.7045454545455,1077.5,151.2,761.75
subject_1784615199160,20260721,155408,43,72.011,20,3295.6000000000004,273.52272727272725,802.5,171.2,676.25
subject_1784615199160,20260721,155408,44,73.629,20,3029.1000000000004,272.72727272727275,489.5,185.89999999999998,579.5
subject_1784615199160,20260721,155408,45,75.244,19,3036.2,251.45454545454547,1049.0,194.1,832.0
subject_1784615199160,20260721,155408,46,76.867,20,2899.9,243.90909090909093,398.0,171.45,495.25
subject_1784615199160,20260721,155408,47,78.485,20,2822.6,223.8181818181818,393.5,170.7,487.5
subject_1784615199160,20260721,155408,48,80.104,20,3242.5,247.38636363636363,434.5,188.25,526.0
subject_1784615199160,20260721,155408,49,81.719,20,3015.6,257.04545454545456,339.0,73.30000000000001,453.5
subject_1784615199160,20260721,155408,50,83.338,20,3182.8,264.27272727272725,1011.0,180.65,791.0
subject_1784615199160,20260721,155408,51,84.96,18,3217.3,303.72727272727275,1062.5,234.39999999999998,788.0
subject_1784615199160,20260721,155408,52,86.575,20,2989.5,298.25,944.5,242.60000000000002,769.0
subject_1784615199160,20260721,155408,53,88.194,19,2250.0,267.59090909090907,801.0,240.3,630.0
subject_1784615199160,20260721,155408,54,89.817,20,2976.7,273.29545454545456,895.5,250.55,739.25
subject_1784615199160,20260721,155408,55,91.431,18,2939.5,281.6363636363636,659.5,195.6,569.75
subject_1784615199160,20260721,155408,56,93.05,20,3259.8,285.5,335.5,103.5,472.0
subject_1784615199160,20260721,155408,57,94.669,18,3653.2,283.97727272727275,302.5,162.3,437.25
subject_1784615199160,20260721,155408,58,96.291,19,2702.0,263.95454545454544,703.0,250.2,536.5
subject_1784615199160,20260721,155408,59,97.906,37,3217.3999999999996,262.72727272727275,430.0,198.4,434.5
subject_1784615199160,20260721,155408,60,101.147,18,2827.2000000000003,271.79545454545456,425.5,218.60000000000002,425.75
subject_1784615199160,20260721,155408,61,102.762,19,3238.6000000000004,270.54545454545456,392.0,199.5,411.0
subject_1784615199160,20260721,155408,62,104.381,18,3148.6,285.8636363636364,403.5,137.55,410.25
subject_1784615199160,20260721,155408,63,106.0,19,3099.8,299.04545454545456,401.0,155.1,516.5
subject_1784615199160,20260721,155408,64,107.623,19,3339.6,277.1818181818182,296.0,224.7,403.0
subject_1784615199160,20260721,155408,65,109.237,18,3041.0,253.79545454545456,337.0,174.2,363.0
subject_1784615199160,20260721,155408,66,110.856,19,3254.4,249.4090909090909,353.0,185.1,373.0
subject_1784615199160,20260721,155408,67,112.474,19,3260.6,246.4090909090909,302.0,140.7,391.0
subject_1784615199160,20260721,155408,68,114.098,19,3294.0,238.63636363636363,379.0,205.6,349.5
subject_1784615199160,20260721,155408,69,115.712,18,3242.8999999999996,237.61363636363637,334.0,186.5,340.25
subject_1784615199160,20260721,155408,70,117.335,19,3344.0,259.59090909090907,319.0,183.8,354.0
subject_1784615199160,20260721,155408,71,118.949,17,3259.8,215.1818181818182,298.0,223.5,332.0
subject_1784615199160,20260721,155408,72,120.568,19,3671.3999999999996,253.45454545454547,299.0,216.4,374.5
subject_1784615199160,20260721,155408,73,122.191,18,3361.7,240.5,325.5,252.60000000000002,337.0
subject_1784615199160,20260721,155408,74,123.805,19,3357.6000000000004,216.63636363636363,327.0,217.1,324.5
subject_1784615199160,20260721,155408,75,125.427,20,3608.5,214.6590909090909,280.5,206.8,341.0
subject_1784615199160,20260721,155408,76,127.046,20,3445.8,198.54545454545456,228.5,232.64999999999998,314.75
subject_1784615199160,20260721,155408,77,128.661,20,3467.7,199.22727272727272,256.0,194.9,322.0
subject_1784615199160,20260721,155408,78,130.311,16,3008.3,225.45454545454544,293.5,233.5,345.0
subject_1784615199160,20260721,155408,79,131.903,18,2881.2,279.75,1108.5,331.45,1051.5
subject_1784615199160,20260721,155408,80,133.517,17,2869.6,220.86363636363637,434.0,269.7,325.5
subject_1784615199160,20260721,155408,81,135.136,16,2998.0,219.9318181818182,425.5,262.04999999999995,318.25
subject_1784615199160,20260721,155408,82,136.786,18,3282.0,220.4318181818182,282.0,271.15,324.5
subject_1784615199160,20260721,155408,83,138.373,19,3102.3999999999996,209.36363636363637,345.0,185.9,320.5
subject_1784615199160,20260721,155408,84,139.992,17,2973.8,211.27272727272728,272.0,200.1,321.0
subject_1784615199160,20260721,155408,85,141.642,17,2966.8,230.22727272727272,347.0,233.9,361.5
subject_1784615199160,20260721,155408,86,143.229,16,3144.2,193.1590909090909,333.5,219.8,310.25
subject_1784615199160,20260721,155408,87,144.848,17,3033.3999999999996,200.72727272727272,325.0,236.2,330.5
subject_1784615199160,20260721,155408,88,146.502,18,3646.4,202.45454545454544,286.5,282.85,331.5
subject_1784615199160,20260721,155408,89,148.089,18,3504.2,196.79545454545456,291.5,267.9,324.0
subject_1784615199160,20260721,155408,90,149.704,18,3376.9,219.36363636363637,304.5,253.6,338.5
subject_1784615199160,20260721,155408,91,151.42,17,3706.2,212.45454545454547,285.0,291.6,309.5
subject_1784615199160,20260721,155408,92,152.945,18,3693.3999999999996,199.20454545454544,265.0,287.9,314.75
subject_1784615199160,20260721,155408,93,154.595,17,3942.3999999999996,186.86363636363637,307.0,312.6,321.0
subject_1784615199160,20260721,155408,94,156.183,18,4113.299999999999,206.5909090909091,268.0,340.15,317.25
subject_1784615199160,20260721,155408,95,157.894,17,3858.8,182.36363636363637,247.0,316.4,293.5
subject_1784615199160,20260721,155408,96,159.419,19,3666.3999999999996,207.45454545454547,255.0,295.1,306.0
subject_1784615199160,20260721,155408,97,161.1,17,4037.7999999999997,187.3181818181818,241.0,347.7,298.5
subject_1784615199160,20260721,155408,98,162.75,17,3831.2,154.5909090909091,282.0,320.6,270.5
subject_1784615199160,20260721,155408,99,164.275,17,3694.2,172.4090909090909,272.0,316.7,279.5
subject_1784615199160,20260721,155408,100,165.89,18,4060.7,181.9090909090909,249.5,337.35,291.5
subject_1784615199160,20260721,155408,101,167.512,20,3817.0,198.88636363636363,228.0,338.9,298.5
subject_1784615199160,20260721,155408,102,169.162,17,3655.8,154.77272727272728,281.0,341.0,252.5
subject_1784615199160,20260721,155408,103,170.78,17,4029.6000000000004,151.3181818181818,230.0,358.5,262.0
subject_1784615199160,20260721,155408,104,172.43,17,3760.2,134.1818181818182,241.0,351.3,217.0
subject_1784615199160,20260721,155408,105,173.986,17,3709.3999999999996,130.45454545454547,242.0,328.2,249.5
subject_1784615199160,20260721,155408,106,175.667,18,3737.1000000000004,151.1590909090909,213.5,356.7,234.25
subject_1784615199160,20260721,155408,107,177.224,18,4095.7,154.0,196.5,348.04999999999995,254.5
subject_1784615199160,20260721,155408,108,178.904,18,3883.3,146.27272727272725,196.0,385.0,244.5
subject_1784615199160,20260721,155408,109,180.523,18,4176.799999999999,135.65909090909093,202.5,379.75,212.5
subject_1784615199160,20260721,155408,110,182.141,18,3965.8,123.95454545454544,190.0,399.70000000000005,222.0
subject_1784615199160,20260721,155408,111,183.698,18,3902.9,137.63636363636363,229.5,348.8,235.0
subject_1784615199160,20260721,155408,112,185.316,17,3540.0,129.13636363636363,219.0,349.7,221.5
subject_1784615199160,20260721,155408,113,186.935,18,3734.0,135.29545454545456,199.5,375.95000000000005,232.25
subject_1784615199160,20260721,155408,114,188.585,19,3944.0,120.0,181.0,359.0,192.5
subject_1784615199160,20260721,155408,115,190.172,18,3803.3,110.36363636363636,169.5,407.2,195.5
subject_1784615199160,20260721,155408,116,191.822,19,3665.3999999999996,95.95454545454545,223.0,383.9,186.5
subject_1784615199160,20260721,155408,117,193.471,17,3568.6000000000004,97.95454545454545,193.0,363.5,177.5
subject_1784615199160,20260721,155408,118,195.028,18,3392.7000000000003,84.77272727272728,209.0,382.3,178.75
subject_1784615199160,20260721,155408,119,196.677,19,3349.3999999999996,90.27272727272727,200.0,373.9,187.0
subject_1784615199160,20260721,155408,120,198.296,19,3652.7999999999997,76.77272727272727,200.0,365.7,161.5
subject_1784615199160,20260721,155408,121,199.884,19,3250.4,65.72727272727273,186.0,336.1,146.0
subject_1784615199160,20260721,155408,122,201.502,19,3958.0,86.72727272727273,165.0,388.0,157.0
subject_1784615199160,20260721,155408,123,203.183,18,3542.1,75.13636363636364,180.0,374.5,144.0
subject_1784615199160,20260721,155408,124,204.801,18,3491.7,73.04545454545453,203.5,380.15,149.25
subject_1784615199160,20260721,155408,125,206.42,18,3534.1,72.18181818181819,154.5,356.0,144.25
subject_1784615199160,20260721,155408,126,208.007,19,3254.8,62.54545454545455,188.0,384.5,154.5
subject_1784615199160,20260721,155408,127,209.626,19,4032.3999999999996,76.5909090909091,196.0,381.9,157.0
subject_1784615199160,20260721,155408,128,211.244,19,3489.2,63.40909090909091,166.0,383.9,133.0
subject_1784615199160,20260721,155408,129,212.863,19,3544.6,53.18181818181818,188.0,420.7,135.5
subject_1784615199160,20260721,155408,130,214.45,19,3392.8,58.22727272727273,174.0,362.5,123.5
subject_1784615199160,20260721,155408,131,216.069,19,4089.0,52.81818181818182,174.0,385.6,139.0
subject_1784615199160,20260721,155408,132,217.687,19,2753.0,66.86363636363636,196.0,304.2,152.0
subject_1784615199160,20260721,155408,133,219.336,19,3044.0,59.5,209.0,365.0,128.5
subject_1784615199160,20260721,155408,134,220.955,19,3029.8,54.0,180.0,312.2,109.0
subject_1784615199160,20260721,155408,135,222.573,19,2719.8,57.95454545454545,210.0,367.6,141.5
subject_1784615199160,20260721,155408,136,224.161,19,3063.8,43.77272727272727,162.0,333.7,128.0
subject_1784615199160,20260721,155408,137,225.779,19,3165.8,47.63636363636363,164.0,331.0,112.5
subject_1784615199160,20260721,155408,138,227.398,19,3373.8,59.18181818181818,197.0,381.1,136.0
subject_1784615199160,20260721,155408,139,229.016,19,3060.0,55.5,192.0,338.0,155.0
subject_1784615199160,20260721,155408,140,230.634,19,3277.4,60.77272727272727,209.0,389.1,163.5
subject_1784615199160,20260721,155408,141,232.284,19,3414.0,63.77272727272727,214.0,360.5,170.5
subject_1784615199160,20260721,155408,142,233.867,19,3343.0,62.0,215.0,333.3,167.5
subject_1784615199160,20260721,155408,143,235.489,19,3342.4,52.81818181818182,208.0,377.3,138.0
subject_1784615199160,20260721,155408,144,237.139,19,3694.2,58.0,205.0,348.3,174.0
subject_1784615199160,20260721,155408,145,238.722,19,2911.8,64.13636363636364,212.0,310.0,181.0
subject_1784615199160,20260721,155408,146,240.344,19,2853.3999999999996,72.18181818181819,245.0,315.8,187.0
subject_1784615199160,20260721,155408,147,241.993,19,3068.6000000000004,57.72727272727273,183.0,329.5,140.0
subject_1784615199160,20260721,155408,148,243.577,19,2914.2,59.0,212.0,312.7,187.0
subject_1784615199160,20260721,155408,149,245.199,19,3314.6000000000004,62.13636363636363,232.0,346.6,192.0
subject_1784615199160,20260721,155408,150,246.849,19,3393.0,54.13636363636363,203.0,330.1,145.5
subject_1784615199160,20260721,155408,151,248.432,19,3334.6000000000004,59.81818181818182,238.0,348.7,169.0
subject_1784615199160,20260721,155408,152,250.086,19,3604.2,87.0,210.0,398.4,165.0
subject_1784615199160,20260721,155408,153,251.673,20,3405.0,79.36363636363637,233.5,327.3,190.5
subject_1784615199160,20260721,155408,154,253.291,20,3358.3,64.75,232.5,376.95,187.75
subject_1784615199160,20260721,155408,155,254.94,19,3532.6000000000004,66.5,210.0,342.2,171.0
subject_1784615199160,20260721,155408,156,256.528,19,3173.8,58.31818181818182,252.0,263.6,179.5
subject_1784615199160,20260721,155408,157,258.146,19,3037.6,69.13636363636364,232.0,348.9,192.0
